IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
129.154.195.184,443,443,true,SIN,Asia Pacific,Singapore,210,8.94
89.168.52.251,8443,443,true,CDG,Europe,Paris,175,8.92
141.148.238.67,443,443,true,FRA,Europe,Frankfurt,182,8.89
89.168.86.61,443,443,true,FRA,Europe,Frankfurt,221,8.88
141.148.233.11,443,443,true,FRA,Europe,Frankfurt,178,8.87
146.56.128.119,443,443,true,SIN,Asia Pacific,Singapore,216,8.86
158.178.158.87,443,443,true,FRA,Europe,Frankfurt,171,8.85
141.147.100.246,443,443,true,FRA,Europe,Frankfurt,192,8.82
132.226.20.240,443,443,true,SIN,Asia Pacific,Singapore,210,8.82
146.56.160.143,443,443,true,SIN,Asia Pacific,Singapore,205,8.82
89.168.124.220,443,443,true,FRA,Europe,Frankfurt,168,8.78
130.61.109.6,8443,443,true,FRA,Europe,Frankfurt,182,8.74
141.148.232.60,443,443,true,FRA,Europe,Frankfurt,172,8.72
193.123.60.8,443,443,true,FRA,Europe,Frankfurt,174,8.71
132.145.227.106,443,443,true,FRA,Europe,Frankfurt,202,8.68
144.21.33.3,443,443,true,FRA,Europe,Frankfurt,173,8.63
84.8.157.245,443,443,true,FRA,Europe,Frankfurt,174,8.60
141.148.244.232,443,443,true,FRA,Europe,Frankfurt,178,8.59
141.144.253.15,443,443,true,FRA,Europe,Frankfurt,167,8.59
141.144.255.45,443,443,true,FRA,Europe,Frankfurt,166,8.58
158.101.210.52,443,443,true,FRA,Europe,Frankfurt,189,8.57
141.145.206.16,8443,443,true,CDG,Europe,Paris,178,8.52
141.145.205.115,8443,8443,true,CDG,Europe,Paris,204,8.48
130.162.35.166,443,443,true,FRA,Europe,Frankfurt,186,8.48
146.56.38.122,443,443,true,SIN,Asia Pacific,Singapore,203,8.44
140.238.83.169,443,443,true,FRA,Europe,Frankfurt,207,8.44
141.148.227.255,443,443,true,FRA,Europe,Frankfurt,247,8.38
141.147.109.179,443,443,true,FRA,Europe,Frankfurt,177,8.33
144.24.173.250,2096,443,true,FRA,Europe,Frankfurt,178,8.32
141.148.243.4,443,443,true,FRA,Europe,Frankfurt,185,8.27
141.148.235.175,443,443,true,FRA,Europe,Frankfurt,184,8.26
141.147.80.89,443,443,true,FRA,Europe,Frankfurt,196,8.26
146.56.38.72,443,443,true,SIN,Asia Pacific,Singapore,204,8.25
158.101.206.73,443,443,true,FRA,Europe,Frankfurt,157,8.21
141.147.64.91,443,443,true,FRA,Europe,Frankfurt,175,8.16
138.3.253.208,443,443,true,FRA,Europe,Frankfurt,167,8.09
89.168.69.243,443,443,true,FRA,Europe,Frankfurt,177,8.06
150.230.20.44,443,443,true,FRA,Europe,Frankfurt,173,8.03
141.148.245.158,443,443,true,FRA,Europe,Frankfurt,179,7.95
141.147.66.170,443,443,true,FRA,Europe,Frankfurt,198,7.90
141.147.80.127,443,443,true,FRA,Europe,Frankfurt,177,7.88
130.61.193.127,443,443,true,FRA,Europe,Frankfurt,192,7.76
130.162.191.111,443,443,true,FRA,Europe,Frankfurt,172,7.74
164.152.26.70,2052,443,true,ORD,North America,Chicago,220,7.73
132.226.214.134,443,443,true,FRA,Europe,Frankfurt,176,7.72
141.147.81.16,443,443,true,FRA,Europe,Frankfurt,209,7.66
130.61.109.6,2096,443,true,FRA,Europe,Frankfurt,170,7.64
132.226.212.175,443,443,true,FRA,Europe,Frankfurt,175,7.60
138.2.178.211,443,443,true,FRA,Europe,Frankfurt,188,7.55
141.148.225.126,443,443,true,FRA,Europe,Frankfurt,171,7.55
141.144.199.237,443,443,true,FRA,Europe,Frankfurt,171,7.53
144.24.173.250,8443,443,true,FRA,Europe,Frankfurt,189,7.53
158.101.222.143,443,443,true,FRA,Europe,Frankfurt,195,7.51
129.146.137.89,2096,443,true,LAX,North America,Los Angeles,211,7.37
144.21.32.56,443,443,true,FRA,Europe,Frankfurt,191,7.34
158.180.14.40,443,443,true,FRA,Europe,Frankfurt,201,7.26
89.168.92.239,443,443,true,FRA,Europe,Frankfurt,168,7.25
130.61.239.203,443,443,true,FRA,Europe,Frankfurt,169,7.21
144.24.173.250,2053,443,true,FRA,Europe,Frankfurt,194,7.18
141.144.199.38,443,443,true,FRA,Europe,Frankfurt,172,7.07
130.61.109.6,2053,443,true,FRA,Europe,Frankfurt,178,7.02
152.70.56.215,443,443,true,FRA,Europe,Frankfurt,185,6.97
158.101.193.166,443,443,true,FRA,Europe,Frankfurt,201,6.97
89.168.19.74,2095,443,true,CDG,Europe,Paris,240,6.92
40.233.70.7,8443,443,true,YYZ,North America,Toronto,241,6.91
193.123.69.77,443,443,true,CDG,Europe,Paris,195,6.86
164.152.26.70,2086,443,true,ORD,North America,Chicago,224,6.84
141.147.101.234,443,443,true,FRA,Europe,Frankfurt,193,6.75
140.238.83.169,443,443,true,FRA,Europe,Frankfurt,196,6.73
192.9.250.241,443,443,true,SJC,North America,San Jose,191,6.62
144.24.243.207,443,443,true,ZRH,Europe,Zurich,147,6.59
141.148.225.142,443,443,true,AMS,Europe,Amsterdam,171,6.55
